time,open,high,low,close,green,red,sell,buy
2023-02-01 08:45:00,160.518,160.593,160.492,160.527,72.95281805963731,66.17253467793616,True,False
2023-02-01 09:45:00,160.542,160.558,160.348,160.365,48.61054095452507,66.04856833358853,False,True
2023-02-01 14:00:00,160.006,160.012,159.817,159.844,39.17819330600452,54.212251442009766,False,True
2023-02-01 15:00:00,160.032,160.061,159.898,159.899,57.762809144616426,42.66962472048383,True,False
2023-02-01 15:45:00,159.834,159.836,159.599,159.643,29.64253452058202,41.527949908680625,False,True
2023-02-01 17:30:00,159.426,159.45,159.309,159.315,15.865614434764565,24.649560982768094,False,True
2023-02-01 19:30:00,159.036,159.036,158.923,158.951,10.149161473372684,11.535314511384831,False,True
2023-02-01 20:00:00,158.977,159.089,158.968,159.086,35.15023204269638,19.62478191456685,True,False
2023-02-01 23:15:00,159.548,159.659,159.538,159.637,77.32880563284145,66.99430904496099,True,False
2023-02-02 00:00:00,159.49,159.532,159.459,159.528,59.90364860912152,70.13769727381823,False,True
2023-02-02 02:15:00,159.013,159.12,158.878,158.953,16.605409480728827,25.263688625010797,False,True
2023-02-02 03:00:00,159.205,159.322,159.162,159.237,60.77344213132633,40.110474754506775,True,False
2023-02-02 04:00:00,159.178,159.242,159.151,159.237,66.80294445512904,67.21170220074494,False,True
2023-02-02 05:00:00,159.201,159.224,159.134,159.214,57.280366409598166,59.04513918963935,False,True
2023-02-02 06:15:00,159.161,159.192,159.132,159.157,36.10558764427064,55.66687394664198,False,True
2023-02-02 08:45:00,159.435,159.449,159.331,159.333,52.770597249540685,74.06565165171777,False,True
2023-02-02 10:15:00,159.32,159.468,159.27,159.435,51.09672523415045,28.36828927792348,True,False
2023-02-02 11:15:00,159.42,159.438,159.18,159.197,39.975048425750856,54.293030857892994,False,True
2023-02-02 14:15:00,158.458,158.464,157.882,157.893,18.46365635932338,22.97537105190456,False,True
2023-02-02 15:15:00,158.093,158.154,157.816,157.909,28.26650889638138,16.579629659834303,True,False
2023-02-02 16:30:00,157.843,157.935,157.705,157.74,23.94601811192105,41.45624719906464,False,True
2023-02-02 18:15:00,157.661,157.704,157.512,157.569,20.93898354370926,39.13370347496261,False,True
2023-02-02 23:15:00,157.384,157.432,157.32,157.396,50.48502221716894,68.53564987564084,False,True
2023-02-03 00:30:00,157.295,157.329,157.249,157.253,36.43909445498351,29.214838159430258,True,False
2023-02-03 02:15:00,157.138,157.166,156.962,157.073,42.22397923705373,56.49722149531385,False,True
2023-02-03 03:15:00,157.219,157.28,157.178,157.278,61.181243684298956,38.77903966135519,True,False
2023-02-03 04:15:00,157.065,157.077,156.977,156.99,36.06442053887075,61.030514257254374,False,True
2023-02-03 10:15:00,156.772,156.916,156.74,156.916,32.65128008811322,29.666903968764746,True,False
2023-02-03 12:15:00,157.302,157.383,157.268,157.31,73.89862587685253,83.95174179847204,False,True
2023-02-03 17:15:00,158.331,158.739,158.327,158.626,91.31576641920792,89.67584392158807,True,False
2023-02-03 19:15:00,158.428,158.489,158.407,158.423,54.462423233186975,34.367409606116674,True,False
2023-02-03 21:45:00,158.037,158.053,157.98,157.991,10.200746183325029,21.712995266313673,False,True
2023-02-06 01:15:00,158.64,158.685,158.531,158.641,35.75128190361611,46.68206649311082,False,True
2023-02-06 02:00:00,159.038,159.113,158.883,159.101,90.07742951394981,65.2501648269053,True,False
2023-02-06 04:15:00,159.329,159.43,159.276,159.351,80.23915517260914,72.33711458613243,True,False
2023-02-06 07:00:00,158.793,158.866,158.712,158.826,16.87077273281392,17.123135665904304,False,True
2023-02-06 07:30:00,158.874,158.934,158.835,158.928,55.55252635405256,32.01509417437244,True,False
2023-02-06 12:15:00,159.044,159.122,159.021,159.074,56.655930891571906,36.81883601839356,True,False
2023-02-06 14:30:00,159.255,159.357,159.202,159.297,79.03319934279527,71.8383682912387,True,False
2023-02-06 16:00:00,159.707,159.763,159.572,159.603,82.78197226986445,87.7149632097416,False,True
2023-02-06 17:45:00,159.531,159.608,159.466,159.582,26.02139406487117,46.039635944735814,False,True
2023-02-06 19:15:00,159.548,159.653,159.525,159.637,49.207139892072426,26.626369831317874,True,False
2023-02-06 21:45:00,159.393,159.443,159.32,159.327,17.218701149199703,32.35962377069612,False,True
2023-02-06 22:30:00,159.44,159.528,159.408,159.439,57.93777981277707,38.20660622835857,True,False
2023-02-06 23:15:00,159.416,159.441,159.374,159.415,45.7792207792206,55.98945807279105,False,True
2023-02-07 02:00:00,159.49,159.49,159.384,159.435,53.218224887112875,65.14027497444494,False,True
2023-02-07 03:00:00,159.517,159.57,159.349,159.455,60.679389955340135,45.66508072995805,True,False
2023-02-07 03:45:00,159.436,159.453,159.335,159.437,47.88296660973856,54.514334770017435,False,True
2023-02-07 04:30:00,159.427,159.473,159.383,159.468,61.75728920408714,54.014340417499476,True,False
2023-02-07 06:45:00,159.285,159.291,159.211,159.252,19.861593489192085,20.507870615322357,False,True
2023-02-07 07:15:00,159.327,159.39,159.3,159.378,56.54450261780095,35.86704220160241,True,False
2023-02-07 08:15:00,159.263,159.334,159.203,159.297,44.8519406915679,61.37128902829384,False,True
2023-02-07 10:30:00,158.577,158.616,158.371,158.419,12.219327727747105,17.135614924345848,False,True
2023-02-07 11:00:00,158.551,158.635,158.507,158.617,25.962039733283206,19.12338692837469,True,False
2023-02-07 11:45:00,158.429,158.429,158.232,158.233,9.93692968174992,19.92836593687738,False,True
2023-02-07 12:45:00,158.251,158.374,158.218,158.287,30.769634608270326,18.1860364392643,True,False
2023-02-07 14:15:00,158.243,158.383,158.211,158.336,46.91834932009778,59.20682794523182,False,True
2023-02-07 16:00:00,157.992,158.076,157.905,157.908,12.739690851433288,9.527643050870932,True,False
2023-02-07 17:30:00,158.046,158.081,157.815,157.851,50.787532018370065,68.65315381009545,False,True
2023-02-07 18:30:00,157.732,157.807,157.675,157.774,31.446185997909794,20.89687116394127,True,False
2023-02-07 21:00:00,157.734,157.973,157.732,157.894,64.7934126340457,39.449929911083885,True,False
2023-02-08 00:15:00,157.7,157.824,157.7,157.787,27.605971491192076,45.33325090879776,False,True
2023-02-08 02:15:00,157.886,157.886,157.722,157.744,38.37532375794765,60.64624576578706,False,True
2023-02-08 03:15:00,157.808,157.93,157.751,157.848,55.710659898475,34.27491172672352,True,False
2023-02-08 04:45:00,158.089,158.157,158.074,158.122,72.11852579119152,79.8741557346792,False,True
2023-02-08 07:30:00,158.004,158.007,157.964,157.98,28.48556515618884,53.40702121426826,False,True
2023-02-08 08:15:00,158.0,158.118,157.962,158.08,46.72728147400099,27.75685722060795,True,False
2023-02-08 13:00:00,158.195,158.218,158.081,158.139,36.452839556324726,53.713937348180224,False,True
